DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2019-08-02 00:00:00,100.805,100.777,100.831,20220900,20221200,20220600
2019-08-05 00:00:00,100.838,100.81,100.864,20220900,20221200,20220600
2019-08-06 00:00:00,100.841,100.813,100.867,20220900,20221200,20220600
2019-08-07 00:00:00,100.873,100.845,100.899,20220900,20221200,20220600
2019-08-08 00:00:00,100.852,100.824,100.878,20220900,20221200,20220600
2019-08-09 00:00:00,100.869,100.841,100.895,20220900,20221200,20220600
2019-08-12 00:00:00,100.876,100.848,100.902,20220900,20221200,20220600
2019-08-13 00:00:00,100.89,100.866,100.915,20220900,20221200,20220600
2019-08-14 00:00:00,100.903,100.879,100.928,20220900,20221200,20220600
2019-08-15 00:00:00,100.933,100.909,100.958,20220900,20221200,20220600
2019-08-16 00:00:00,100.918,100.894,100.943,20220900,20221200,20220600
2019-08-19 00:00:00,100.893,100.871,100.918,20220900,20221200,20220600
2019-08-20 00:00:00,100.918,100.896,100.943,20220900,20221200,20220600
2019-08-21 00:00:00,100.886,100.864,100.911,20220900,20221200,20220600
2019-08-22 00:00:00,100.856,100.834,100.881,20220900,20221200,20220600
2019-08-23 00:00:00,100.881,100.859,100.906,20220900,20221200,20220600
2019-08-26 00:00:00,100.912,100.89,100.937,20220900,20221200,20220600
2019-08-27 00:00:00,100.944,100.922,100.969,20220900,20221200,20220600
2019-08-28 00:00:00,100.961,100.944,100.981,20220900,20221200,20220600
2019-08-29 00:00:00,100.946,100.929,100.966,20220900,20221200,20220600
2019-08-30 00:00:00,100.956,100.939,100.976,20220900,20221200,20220600
2019-09-02 00:00:00,100.929,100.912,100.949,20220900,20221200,20220600
2019-09-03 00:00:00,100.926,100.909,100.946,20220900,20221200,20220600
2019-09-04 00:00:00,100.882,100.865,100.902,20220900,20221200,20220600
2019-09-05 00:00:00,100.838,100.818,100.861,20220900,20221200,20220600
2019-09-06 00:00:00,100.837,100.816,100.861,20220900,20221200,20220600
2019-09-09 00:00:00,100.817,100.796,100.841,20220900,20221200,20220600
2019-09-10 00:00:00,100.822,100.801,100.846,20220900,20221200,20220600
2019-09-11 00:00:00,100.8015,100.7805,100.8255,20220900,20221200,20220600
2019-09-12 00:00:00,100.7435,100.7225,100.7675,20220900,20221200,20220600
2019-09-13 00:00:00,100.696,100.675,100.72,20220900,20221200,20220600
2019-09-16 00:00:00,100.7355,100.7155,100.758,20220900,20221200,20220600
2019-09-17 00:00:00,100.696,100.668,100.716,20221200,20230300,20220900
2019-09-18 00:00:00,100.703,100.6755,100.718,20221200,20230300,20220900
2019-09-19 00:00:00,100.688,100.6605,100.703,20221200,20230300,20220900
2019-09-20 00:00:00,100.698,100.6705,100.713,20221200,20230300,20220900
2019-09-23 00:00:00,100.698,100.678,100.708,20221200,20230300,20220900
2019-09-24 00:00:00,100.763,100.748,100.768,20221200,20230300,20220900
2019-09-25 00:00:00,100.763,100.748,100.768,20221200,20230300,20220900
2019-09-26 00:00:00,100.74,100.72,100.75,20221200,20230300,20220900
2019-09-27 00:00:00,100.735,100.715,100.745,20221200,20230300,20220900
2019-09-30 00:00:00,100.735,100.715,100.745,20221200,20230300,20220900
2019-10-01 00:00:00,100.72,100.7,100.73,20221200,20230300,20220900
2019-10-02 00:00:00,100.73,100.715,100.735,20221200,20230300,20220900
2019-10-03 00:00:00,100.775,100.76,100.78,20221200,20230300,20220900
2019-10-04 00:00:00,100.8,100.785,100.805,20221200,20230300,20220900
2019-10-07 00:00:00,100.775,100.755,100.785,20221200,20230300,20220900
2019-10-08 00:00:00,100.785,100.76,100.8,20221200,20230300,20220900
2019-10-09 00:00:00,100.745,100.715,100.765,20221200,20230300,20220900
2019-10-10 00:00:00,100.68,100.645,100.705,20221200,20230300,20220900
2019-10-11 00:00:00,100.645,100.605,100.675,20221200,20230300,20220900
2019-10-14 00:00:00,100.665,100.63,100.69,20221200,20230300,20220900
2019-10-15 00:00:00,100.605,100.565,100.635,20221200,20230300,20220900
2019-10-16 00:00:00,100.58,100.55,100.61,20221200,20230300,20220900
2019-10-17 00:00:00,100.6,100.565,100.625,20221200,20230300,20220900
2019-10-18 00:00:00,100.6,100.565,100.625,20221200,20230300,20220900
2019-10-21 00:00:00,100.575,100.54,100.6,20221200,20230300,20220900
2019-10-22 00:00:00,100.595,100.56,100.62,20221200,20230300,20220900
2019-10-23 00:00:00,100.6,100.565,100.625,20221200,20230300,20220900
2019-10-24 00:00:00,100.606,100.57,100.63,20221200,20230300,20220900
2019-10-25 00:00:00,100.606,100.57,100.63,20221200,20230300,20220900
2019-10-28 00:00:00,100.555,100.519,100.575,20221200,20230300,20220900
2019-10-29 00:00:00,100.56,100.53,100.575,20221200,20230300,20220900
2019-10-30 00:00:00,100.52,100.485,100.535,20221200,20230300,20220900
2019-10-31 00:00:00,100.57,100.54,100.58,20221200,20230300,20220900
2019-11-01 00:00:00,100.565,100.535,100.575,20221200,20230300,20220900
2019-11-04 00:00:00,100.55,100.525,100.555,20221200,20230300,20220900
2019-11-05 00:00:00,100.53,100.51,100.53,20221200,20230300,20220900
2019-11-06 00:00:00,100.525,100.505,100.535,20221200,20230300,20220900
2019-11-07 00:00:00,100.49,100.47,100.5,20221200,20230300,20220900
2019-11-08 00:00:00,100.48,100.455,100.495,20221200,20230300,20220900
2019-11-11 00:00:00,100.5,100.48,100.51,20221200,20230300,20220900
2019-11-12 00:00:00,100.495,100.475,100.5,20221200,20230300,20220900
2019-11-13 00:00:00,100.545,100.52,100.555,20221200,20230300,20220900
2019-11-14 00:00:00,100.565,100.54,100.575,20221200,20230300,20220900
2019-11-15 00:00:00,100.575,100.55,100.58,20221200,20230300,20220900
2019-11-18 00:00:00,100.585,100.555,100.595,20221200,20230300,20220900
2019-11-19 00:00:00,100.585,100.55,100.6,20221200,20230300,20220900
2019-11-20 00:00:00,100.62,100.59,100.63,20221200,20230300,20220900
2019-11-21 00:00:00,100.585,100.555,100.595,20221200,20230300,20220900
2019-11-25 00:00:00,100.592,100.562,100.602,20221200,20230300,20220900
2019-11-26 00:00:00,100.593,100.573,100.603,20221200,20230300,20220900
2019-11-27 00:00:00,100.607,100.588,100.62,20221200,20230300,20220900
2019-11-28 00:00:00,100.607,100.588,100.62,20221200,20230300,20220900
2019-11-29 00:00:00,100.607,100.588,100.62,20221200,20230300,20220900
2019-12-02 00:00:00,100.589,100.569,100.604,20221200,20230300,20220900
2019-12-03 00:00:00,100.611,100.593,100.626,20221200,20230300,20220900
2019-12-04 00:00:00,100.6025,100.5845,100.6225,20221200,20230300,20220900
2019-12-05 00:00:00,100.5925,100.5745,100.6125,20221200,20230300,20220900
2019-12-06 00:00:00,100.557,100.537,100.582,20221200,20230300,20220900
2019-12-09 00:00:00,100.57,100.55,100.595,20221200,20230300,20220900
2019-12-10 00:00:00,100.535,100.51,100.565,20221200,20230300,20220900
2019-12-11 00:00:00,100.53,100.515,100.55,20221200,20230300,20220900
2019-12-12 00:00:00,100.51,100.5,100.535,20221200,20230300,20220900
2019-12-13 00:00:00,100.52,100.505,100.545,20221200,20230300,20220900
2019-12-16 00:00:00,100.52,100.505,100.545,20221200,20230300,20220900
2019-12-17 00:00:00,100.51,100.485,100.525,20230300,20230600,20221200
2019-12-18 00:00:00,100.495,100.47,100.505,20230300,20230600,20221200
2019-12-19 00:00:00,100.47,100.44,100.485,20230300,20230600,20221200
2019-12-20 00:00:00,100.445,100.41,100.465,20230300,20230600,20221200
2019-12-23 00:00:00,100.444,100.415,100.468,20230300,20230600,20221200
2019-12-24 00:00:00,100.444,100.415,100.468,20230300,20230600,20221200
2019-12-26 00:00:00,100.444,100.415,100.468,20230300,20230600,20221200
2019-12-27 00:00:00,100.44,100.411,100.462,20230300,20230600,20221200
2019-12-30 00:00:00,100.423,100.398,100.44,20230300,20230600,20221200
2019-12-31 00:00:00,100.416,100.391,100.433,20230300,20230600,20221200
2020-01-02 00:00:00,100.4375,100.4125,100.4545,20230300,20230600,20221200
2020-01-03 00:00:00,100.4812,100.4542,100.5032,20230300,20230600,20221200
2020-01-06 00:00:00,100.5062,100.4792,100.5282,20230300,20230600,20221200
2020-01-07 00:00:00,100.5213,100.4973,100.5383,20230300,20230600,20221200
2020-01-08 00:00:00,100.4977,100.4717,100.5177,20230300,20230600,20221200
2020-01-09 00:00:00,100.5027,100.4767,100.5227,20230300,20230600,20221200
2020-01-10 00:00:00,100.4847,100.4587,100.5067,20230300,20230600,20221200
2020-01-13 00:00:00,100.4762,100.4502,100.4982,20230300,20230600,20221200
2020-01-14 00:00:00,100.4958,100.4628,100.5248,20230300,20230600,20221200
2020-01-15 00:00:00,100.5294,100.4934,100.5664,20230300,20230600,20221200
